i	j	affiliation
DARLEY MATHILDE	2017_ST26	CESDIP
DARLEY MATHILDE	2017_ST64	CESDIP
DARMON ERIC	2017_ST36	DARMON ERIC U. RENNES I, CREM CNRS & M@RSOUIN
DARMON MURIEL	2013_ST33	ENS CESSP
DARRAS ERIC	2011_ST35	SANDRA VERA ZAMBRANO LASSP, IEP TOULOUSE
DARRAS ERIC	2015_ST14	LASSP, IEP TOULOUSE
DARRAS ERIC	2017_ST2	LASSP, IEP TOULOUSE
DARVICHE SAID	2013_ST1	& WILLIAM GENIEYS CEPEL, U. MONTPELLIER 1
DASSIE VERONIQUE	2015_ST8	IDEMEC
DAUCE FRANCOISE	2011_ST48	NA
DAUMAS JEAN CLAUDE	2009_ST33	U. FRANCHE COMTE, INSTITUT UNIVERSITAIRE DE FRANCE
DAUNE ANNE MARIE	2009_ST27	RICHARD CNRS LEST, AIX EN PROVENCE
DAVIAUD SOPHIE	2013_ST3	IEP AIX EN PROVENCE, CHERPA
DAVID MERYLL	2009_ST32	NA
DAVID QUENTIN	2009_ST5	ECARES, U. LIBRE BRUXELLES (BELGIQUE)
DAVID QUENTIN	2009_ST13	ECARES, U. LIBRE BRUXELLES (BELGIQUE)
DAVID QUENTIN	2009_ST5	ECARES, U. LIBRE BRUXELLES (BELGIQUE)
DAVID QUENTIN	2011_ST34	IGEAT, U. LIBRE BRUXELLES (BELGIQUE)
DAVID THOMAS	2009_ST33	IHES, U. LAUSANNE (SUISSE)
DAVIDSHOFER STEPHAN	2013_ST18	U. GENEVE (SUISSE)
DAZEY MARGOT	2017_ST58	U. CAMBRIDGE POLIS
DE ALMEIDA MEDEIROS MARCELO	2013_ST49	U. FEDERALE PERNAMBUCO RECIFE (BRESIL)
DE ALMEIDA MEDEIROS MARCELO	2015_ST58	U. FEDERALE PERNAMBUCO RECIFE (BRESIL)
DE GALEMBERT CLAIRE	2013_ST59	ENS CACHAN ISP
DE GALEMBERT CLAIRE	2015_ST16	NA
DE GASQUET BEATRICE	2017_ST53	U. PARIS DIDEROT
DE JONGH MAURITS	2015_ST29	CEVIPOF, SCIENCES PO PARIS
DE LANGE SARAH	2013_ST27	U. DAMSTERDAM
DE LARMINAT XAVIER	2011_ST20	CESDIP, U. VERSAILLES SAINT QUENTIN
DE LARMINAT XAVIER	2013_ST4	CESDIP, U. VERSAILLES SAINT QUENTIN
DE LARMINAT XAVIER	2017_ST13	CENS, U. NANTES
DE LASSALLE MARINE	2015_ST19	SAGE
DE LIGLIO GIULIO	2017_ST57	NA
DE PRYCK KARI	2017_ST72	UMR 7050 CERI, SCIENCES PO PARIS ET SPERI/GSI U. GENEVE (SUISSE)
DE SIO LORENZO	2013_ST28	U. LUISS, ROME
DE VIRGILIO ALDO	2013_ST28	NA
DEAS JOAN	2013_ST49	IEP GRENOBLE, UMR PACTE 5194
DEBAILLY RENAUD	2013_ST20	GEMASS/U. PARIS 4
DEBAIN MATHILDE	2013_ST25	U. PARIS PANTHEON SORBONNE, CEMAF
DEBAIN MATHILDE	2015_ST59	CESSP PARIS I
DEBAR ANNE	2011_ST14	LATTS
DEBLANDER CAROLINE	2009_ST41	FUCAM
DEBONNEVILLE JULIEN	2011_ST49	& PABLO A DIAZ U. LAUSANNE (SUISSE)
DEBONS JEROME	2017_ST14	ET LORENE PIQUEREZ U. FRIBOURG
DEBOS MARIELLE	2011_ST9	U. PARIS OUEST, ISP
DEBOS MARIELLE	2015_ST47	ISSP ISP
DEBOS MARIELLE	2015_ST51	ISP, U. PARIS 10
DECARLO IVAN	2009_ST42	NA
DECHEZELLES STEPHANIE	2009_ST37	SPIRIT, IEP BORDEAUX
DECHEZELLES STEPHANIE	2011_ST13	CHERPA, IEP AIX EN PROVENCE
DECHEZELLES STEPHANIE	2013_ST37	CHERPA, IEP AIX EN PROVENCE
DECHEZELLES STEPHANIE	2013_ST42	CHERPA, IEP AIX EN PROVENCE
DECHEZELLES STEPHANIE	2015_ST35	CHERPA, IEP AIX EN PROVENCE
DEDIEU CLAIRE	2017_ST35	U. MONTPELLIER, IRSTEA
DEFFONTAINES GERY	2015_ST31	CSI MINES PARISTECH
DEFORGE QUENTIN	2017_ST73	IRISSO, U. PARIS 9
DEGEORGES ADRIEN	2013_ST1	SCIENCES PO CEE
DEGEORGES ADRIEN	2013_ST26	CEE, SCIENCES PO PARIS
DEGEORGES ADRIEN	2015_ST2	SCIENCES PO PARIS CEE, IEP BORDEAUX
DEGREMONT NADEGE	2009_ST47	CEAF EHESS PARIS
DEHOUSSE RENAUD	2013_ST23	CEE, SCIENCES PO PARIS
DEHOUSSE RENAUD	2015_ST2	NA
DEHOUSSE RENAUD	2015_STPOPACT	CEE, SCIENCES PO PARIS
DEL VECCHIO NATHALIA	2013_ST10	NA
DELACOURT DIANE	2009_ST5	CNRS CURAPP
DELACOURT DIANE	2015_ST10	CURAPP, UPJV
DELACROIX DOROTHEE	2015_ST52	U. TOULOUSE II JEAN JAURES, LISST CAS
DELAGE PAULINE	2013_ST1	EHESS IRIS
DELAGE PAULINE	2013_ST11	IRIS/EHESS PARIS
DELAGE PAULINE	2017_ST45	U. LAUSANNE, CENTRE EN ETUDES GENRE
DELANNOI GIL	2013_ST22	SCIENCES PO, CEVIPOF, SCIENCES PO PARIS
DELCOUR LAURE	2015_ST44	PROJET 7EME PCRD CASCADE, MAISON DES SCIENCES DE LHOMME, PARIS
DELCOURT BARBARA	2011_ST3	U. LIBRE BRUXELLES (BELGIQUE)
DELEIXHE MARTIN	2013_ST63	CENTRE DE THEORIE POLITIQUE DE LU. LIBRE BRUXELLES (BELGIQUE)
DELLA SUDDA MAGALI	2009_ST6	ECOLE FRANCAISE DE ROME
DELLA SUDDA MAGALI	2013_ST25	CED, IEP BORDEAUX
DELLA SUDDA MAGALI	2015_ST16	CED, IEP BORDEAUX
DELLA SUDDA MAGALI	2017_ST27	CED, IEP BORDEAUX
DELLA SUDDA MAGALI	2017_ST53	CED, IEP BORDEAUX
DELLA SUDDA MAGALI	2017_ST59	CED, IEP BORDEAUX
DELMAS CORINNE	2011_ST51	CERAPS, U. LILLE 2
DELMAS CORINNE	2013_ST37	CERAPS, U. LILLE 2
DELMAS CORINNE	2013_ST57	CERAPS, U. LILLE 2
DELMOTTE FLORENCE	2009_ST122	U. SAINT LOUIS BRUXELLES (BELGIQUE) / U. LIBRE BRUXELLES (BELGIQUE)
DELMOTTE FLORENCE	2015_ST8	U. SAINT LOUIS BRUXELLES (BELGIQUE) / U. LIBRE BRUXELLES (BELGIQUE)
DELORI MATHIAS	2009_ST28	EUI FLORENCE (ITALIE)
DELORI MATHIAS	2013_ST43	CED, IEP BORDEAUX
DELORI MATHIAS	2013_ST51	CED, IEP BORDEAUX
DELORI MATHIAS	2013_ST55	CED, IEP BORDEAUX
DELOUETTE ILONA	2015_ST38	CLERSE, U. LILLE 1
DELOYE YVES	2009_ST1	UNVERSITE PARIS 1
DELOYE YVES	2009_ST48	UNVERSITE PARIS 1
DELOYE YVES	2011_ST1	NA
DELOYE YVES	2013_ST41	NA
DELOYE YVES	2015_ST29	U. BORDEAUX / IEP BORDEAUX
DELOYE YVES	2017_ST72	IEP BORDEAUX
DELPECH QUENTIN	2013_ST45	CESSP-CRPS
DELPEUCH THIERRY	2009_ST20	ISP, ENS CACHAN
DELPEUCH THIERRY	2011_ST14	ISP, ENS CACHAN
DELPEUCH THIERRY	2011_ST46	ISP, ENS CACHAN
DELPEUCH THIERRY	2015_ST54	PACTE GRENOBLE / CMB BERLIN (ALLEMAGNE)
DELPIERRE ALIZEE	2015_ST7	NA
DELPLA ISABELLE	2013_ST43	U. MONTPELLIER 3, TRIANGLE
DELPORTE ANTOINE	2017_ST54	CISMOC, U. CATHOLIQUE LOUVAIN (BELGIQUE)
DELWIT PASCAL	2009_ST34	ULB
DEMAZIERE DIDIER	2011_ST40	CSO / CNRS ET SCIENCES PO PARIS
DEMAZIERE DIDIER	2017_ST34	CSO, SCIENCES PO PARIS
DEMERTZIS VAIA	2015_ST39	CENTRE DE RECHERCHES ET DINFORMATION SOCIO POLITIQUES CRISP, BELGIQUE
DEMESTRESCU MATEI	2013_ST55	NA
DEMIAUX VICTOR	2011_ST50	EHESS PARIS
DEMONTEIL MARION	2017_ST35	IRISSO CNRS
DENIS ADELINE	2015_ST20	CMH EQUIPE ETT
DENIS ADELINE	2015_ST22	CMH ETT / EHESS ENS
DENIS ADELINE	2017_ST40	CMH, EHESS/ENS
DENORD FRANCOIS	2009_ST33	CNRS CSE
DENORD FRANCOIS	2017_ST35	CESSP CNRS
DEPIGNY BERTRAND	2009_ST28	U. LYON
DEPIGNY BERTRAND	2011_ST12	U. LYON
DEPIGNY MARINE	2009_ST31	U. LYON, LYON 2
DEPLAUDE MARC OLIVIER	2013_ST17	NA
DEPOORTER GAEL	2015_ST12	NA
DERON EVA	2017_ST19	T GRENOBLE, PACTE
DERONT EVA	2017_ST17	PACTE / IEI
DEROUET ANTOINE	2011_ST42	CMH ENS EHESS PARIS
DERRICO DORA	2013_ST2	ENS LYON TRIANGLE
DESAGE FABIEN	2013_ST42	CERAPS, U. LILLE 2 / U. MONTREAL (CANADA)
DESAGE FABIEN	2017_ST18	CERAPS, U. LILLE 2
DESCHAUX DELPHINE	2009_ST1	BEAUME IEP GRENOBLE
DESCHAUX DELPHINE	2009_ST21	BEAUME PACTE, IEP GRENOBLE
DESCHAUX DELPHINE	2013_ST47	BEAUME IEP GRENOBLE / PACTE
DESCHAUX DELPHINE	2017_ST69	DUTARD U. GRENOBLE ALPES/CESICE
DESCLOUX GILLES	2015_ST13	CRAPUL IEPI, U. LAUSANNE (SUISSE)
DESCOUTURES VIRGINIE	2015_ST7	SCIENCES PO, CDSP ET U. PARIS DESCARTES, CERLIS
DESFONTAINES HELENE	2015_ST20	CENS, U. CATHOLIQUE OUEST
DESRUMAUX CLEMENT	2009_ST37	CERAPS, U. LILLE 2
DESRUMAUX CLEMENT	2011_ST31	CERAPS, U. LILLE 2
DESRUMAUX CLEMENT	2011_ST32	CERAPS, U. LILLE 2
DESRUMAUX CLEMENT	2011_ST41	CERAPS, U. LILLE 2
DESRUMAUX CLEMENT	2013_ST38	CERAPS, U. LILLE 2
DESRUMAUX CLEMENT	2015_ST10	CURAPP, UPJV
DESRUMAUX CLEMENT	2017_ST42	TRIANGLE, U. LYON 2
DESTREMAU BLANDINE	2009_ST23	CONSERVATOIRE NATIONAL DES ARTS ET METIERS, PARIS
DEVAUX CAMILLE	2013_ST9	LABURBA, U. PARIS EST
DEVICTOR AGNES	2011_ST10	U. AVIGNON ET DES PAYS DE VAUCLUSE, LABORATOIRE CULTURE ET COMMUNICATION CENTRE NORBERT ELIAS
DEVILLE MARION	2017_ST38	U. GENEVE (SUISSE)
DEVIN GUILLAUME	2009_ST32	SCIENCES PO PARIS
DEVIN GUILLAUME	2011_ST2	SCIENCES PO PARIS
DEVIN GUILLAUME	2015_ST54	SCIENCES PO PARIS
DEVIN GUILLAUME	2017_ST73	CERI, SCIENCES PO PARIS
DEVINEAU JULIE	2009_ST25	CERI, SCIENCES PO PARIS
DEVINEAU JULIE	2011_ST38	NA
DEVISSCHER CHRISTIAN	2009_ST45	U. CATHOLIQUE LOUVAIN (BELGIQUE)
DEYSINE ANNE	2015_STRC20IPSA	UNIVERSITY PARIS OUEST
DEZALAY SARA	2011_ST4	INSTITUT UNIVERSITAIRE EUROPEEN
DEZALAY SARA	2013_ST43	U. TORONTO, MUNK SCHOOL FOR GLOBAL AFFAIRS
DEZALAY SARA	2013_ST50	SARAH DEZALAY U. TORONTO
DEZALAY YVES	2013_ST52	CENTRE DE SOCIOLOGIE EUROPEENNE
DEZE ALEXANDRE	2009_ST7	SCIENCES PO PARIS
DEZE ALEXANDRE	2011_ST33	CEPEL, U. MONTPELLIER 1
DEZE ALEXANDRE	2013_ST27	UM1, CEPEL
DI BONAVENTURA FLORENCE	2017_ST33	CENTRE DE RECHERCHE EN SCIENCE POLITIQUE CRESPO
DIALLO ROZENN	2011_ST18	NA
DIALLO ROZENN	2015_ST19	LAM, IEP BORDEAUX
DIALLO ROZENN	2017_ST16	LAM, IEP BORDEAUX
DIAMANTI ILVO	2015_ST6	U. DURBINO
DIAZ PABLO	2011_ST49	U. LAUSANNE (SUISSE)
DIAZ PABLO	2015_ST52	NA
DIAZ PABLO	2015_ST54	U. LAUSANNE, ISS
DIAZ PAOLA	2009_ST43	U. LILLE II
DIAZ PAOLA	2011_ST32	CEMS, EHESS PARIS
DICKINSON NICHOLAS	2017_ST38	U. EXETER
DIDIER EMMANUEL	2011_ST45	GSPM, EHESS, CNRS
DIDRY CLAUDE	2015_ST40	IDHES ENS DE CACHAN
DIECKHOFF MILENA	2015_STGRAM	CERI, SCIENCES PO PARIS
DIEHL PAULA	2013_ST64	HUMBOLDT UNIVERSITAT (ALLEMAGNE) ZU BERLIN
DIENG MODA	2013_ST48	DEPARTEMENT DE SCIENCE POLITIQUE, U. MONTREAL, CANADA
DIERICKX LAURENCE	2017_ST10	RESIC, U. LIBRE BRUXELLES (BELGIQUE)
DIEUDONNE ABENA TSOUNGUI ALAIN	2013_ST15	CSO, CHAIRE SANTE DE SCIENCES PO PARIS
DIEZ MEDRANO JUAN	2009_ST1	U. BARCELONE (ESPAGNE)
DIMITROV RADOSLAV	2017_ST72	WESTERN UNIVERSITY, CANADA
DINI SABINE	2015_ST54	U. PARIS 13, CERAL
DINI SABINE	2015_ST55	SABINE A DINI U. PARIS 13, CERAL
DIRENBERGER LUCIA	2011_ST53	U. PARIS 7 DENIS DIDEROT
DISCH LISA	2013_ST64	U. MICHIGAN
DITER KEVIN	2017_ST46	INSERM, U. PARIS SUD
DIVAY SOPHIE	2013_ST4	U. REIMS, CEREP
DIVIDSHOFER STEPHAN	2013_ST52	NA
DJOULDEM MOHAMED	2011_ST20	U. MONTPELLIER 3
DOBRY MICHEL	2009_ST50	CRPS, U. PARIS 1
DOBRY MICHEL	2011_ST9	CESSP, U. PARIS 1
DOBSON ANDREW	2013_ST62	CREATE / U. KEELE, UK
DOLEZ BERNARD	2009_ST48	U. PARIS 13
DOLEZ BERNARD	2013_ST28	PARIS 1
DOLEZ CHARLOTTE	2011_ST35	CEE, SCIENCES PO PARIS
DOLEZ CHARLOTTE	2017_ST51	U. CATHOLIQUE LOUVAIN (BELGIQUE)
DOMPNIER NATHALIE	2009_ST42	U. LYON 2 TRIANGLE
DOMPNIER NATHALIE	2011_ST39	U. LYON 2, TRIANGLE
DOMPNIER NATHALIE	2015_ST7	U. LYON 2, TRIANGLE
DONEGANI JEAN MARIE	2013_ST64	SCIENCES PO PARIS
DONOSO SOFIA	2015_ST49	CENTRE FOR SOCIAL CONFLICT AND COHESION STUDIES COES
DONZEL ANDRE	2009_ST121	CNRS LAMES, AIX EN PROVENCE
DORLIN ELSA	2013_ST33	U. PARIS 8
DORMAGEN JEAN YVES	2009_ST13	U. MONTPELLIER
DORMAGEN JEAN YVES	2009_ST34	MONTPELLIER I
DORMAGEN JEAN YVES	2009_ST5	U. MONTPELLIER
DORMAGEN JEAN YVES	2011_ST35	CEPEL, U. MONTPELLIER 1
DORMAGEN JEAN YVES	2013_ST29	U. CERGY PONTOISE, CEPEL, U. MONTPELLIER 1
DORMAGEN JEAN YVES	2015_ST4	CEPEL
DORMAGEN JEAN YVES	2015_ST7	CEPEL, U. MONTPELLIER 1
DORMAGEN JEAN YVES	2017_ST44	CEPEL, U. MONTPELLIER
DORMOIS REMI	2013_ST19	DDT LOIRE EVS
DORMOIS REMI	2017_ST9	EVS U. LYON
DORMOY CHRISTELLE	2017_ST74	RAJRAMANAN CRESPPA CSU
DORRONSORO GILLES	2009_ST47	NA
DORRONSORO GILLES	2013_ST25	U. PARIS 1
DORRONSORO GILLES	2013_ST53	CESSP, U. PARIS 1
DORRONSORO GILLES	2015_ST53	U PARIS 1
DOUBLET YVES MARIE	2013_ST41	NA
DOUILLET ANNE CECILE	2009_ST122	U. FRANCHE COMTE, PACTE GRENOBLE
DOUILLET ANNE CECILE	2011_ST12	U. FRANCHE COMTE, PACTE
DOUILLET ANNE CECILE	2015_ST23	CERAPS, U. LILLE 2
DOUILLET ANNE CECILE	2017_ST20	CERAPS, U. LILLE 2
DOUILLET ANNE CECILE	2017_ST22	CERAPS, U. LILLE 2
DRAKE HELEN	2009_ST19	LOUGHBOROUGH UNIVERSITY
DRAKE HELEN	2013_ST56	LOUGHBOROUGH UNIVERSITY
DRAVIGNY JOSSELIN	2017_ST15	CED, IEP BORDEAUX
DREYFUS FRANCOISE	2009_ST3	CRPS U. PARIS 1
DRI CLARISSA	2011_ST44	CENTRE E DURKHEIM, IEP BORDEAUX
DRUEZ ELODIE	2017_ST50	SCIENCES PO PARIS
DUBARRY THIBAUT	2017_ST57	EHESS, IMAF
DUBIED ANNIK	2013_ST33	U. GENEVE (SUISSE)
DUBOIS ERIC	2009_ST4	U. RENNES 1, CREM
DUBOIS MATHIEU	2009_ST37	U. PARIS 4
DUBOIS VINCENT	2011_ST26	PRISME, IEP STRASBOURG
DUBOIS VINCENT	2015_ST18	SAGE U. STRASBOURG
DUBOIS VINCENT	2017_ST2	DUBOIS VINCENT, << ETHNOGRAPHIER LACTION PUBLIQUE LES TRANSFORMATIONS DE LETAT SOCIAL AU PRISME DE LENQUETE DE TERRAIN >>, GOUVERNEMENT ET ACTION PUBLIQUE, N1, 2012, PP 83 101 FASSIN DIDIER, BENSA ALBAN DIR
DUBOIS VINCENT	2017_ST37	SAGE, IEP STRASBOURG
DUBUISSON SOPHIE	2013_ST7	QUELLIER CNRS CSO SCIENCES PO PARIS
DUCANGE JEAN	2011_ST32	JEAN NUMA DUCANGE U. ROUEN, GRHIS
DUCANGE JEAN	2011_ST46	NA
DUCHESNE SOPHIE	2013_ST6	NA
DUCHESNE SOPHIE	2017_ST33	CED, CNRS/IEP BORDEAUX
DUCHESNE SOPHIE	2017_ST46	ISSP
DUCLOS NATHALIE	2009_ST47	TOURS ISP
DUCLOS NATHALIE	2011_ST6	U. TOURS, ISP NANTERRE
DUCLOS NATHALIE	2013_ST43	U. TOURS, ISP
DUCLOS NATHALIE	2013_ST54	U. TOURS, LABORATOIRE DETUDES ET DE RECHERCHE SUR LACTION PUBLIQUE
DUCLOS NATHALIE	2015_ST51	ISP U. FRANCOIS RABELAIS DE TOURS
DUCOL BENJAMIN	2011_ST10	U. LAVAL (CANADA), QUEBEC
DUDOUET FRANCOIS XAVIER	2013_ST52	NA
DUDOUET VERONIQUE	2011_ST6	BERGHOF CONFLICT RESEARCH / BERLIN, ALLEMAGNE
DUEZ DENIS	2009_ST1	U. SAINT LOUIS BRUXELLES (BELGIQUE) / ACADEMIE LOUVAIN
DUEZ DENIS	2011_ST46	U. SAINT LOUIS BRUXELLES (BELGIQUE)
DUFOUR PASCALE	2009_ST37	CPDS, U. MONTREAL (CANADA)
DUFOURNET HELENE	2009_ST21	ISP, ENS CACHAN
DUFOURNET HELENE	2013_ST50	ISP
DUFOURNET HELENE	2013_ST7	ISP ENS CACHAN
DULONG DE ROSNAY MELANIE	2013_ST45	ISCC CNRS / CERSA CNRS
DULONG DELPHINE	2009_ST6	PARIS 1 CRPS
DULONG DELPHINE	2011_ST13	CESSP, U. PARIS 1
DULONG DELPHINE	2013_ST10	CRPS, U. PARIS 1/CESSP
DULONG DELPHINE	2013_ST38	NA
DULONG DELPHINE	2015_ST20	CESSP, U. PARIS 1
DULONG DELPHINE	2015_ST27	U. PARIS 1/CESSP
DUMARCHER AMELIE	2017_ST16	U. DU QUEBEC A RIMOUSKI
DUMITRU SPERANTA	2011_ST21	U. PARIS DESCARTES
DUMITRU SPERANTA	2013_ST46	U. PARIS DESCARTES
DUMOULIN DAVID	2011_ST18	IHEAL, PARIS 3
DUPOIRIER ELISABETH	2009_ST48	JEAN CHICHE ET NICOLAS SAUGER CEE
DUPUITS EMILIE	2015_ST56	U. GENEVE, DEP SCIENCE POLITIQUE, GLOBAL STUDIES INSTITUTE
DUPUY CAMILLE	2011_ST39	ENS CACHAN, IDHE
DUPUY CLAIRE	2009_ST14	SCIENCES PO, U. MILAN BICOCCA, IEP TOULOUSE
DUPUY CLAIRE	2011_ST12	CERIUM, U. MONTREAL (CANADA)
DUPUY CLAIRE	2011_ST19	CERIUM, U. MONTREAL (CANADA)
DUPUY CLAIRE	2011_ST45	CERIUM, U. MONTREAL (CANADA)
DUPUY CLAIRE	2013_ST6	ISPOLE, U. CATHOLIQUE LOUVAIN (BELGIQUE)
DUPUY CLAIRE	2015_STPOPACT	PACTE, IEP GRENOBLE
DURAN MANUEL	2017_ST66	ROYAL MUSEUM OF THE ARMED FORCES AND OF MILITARY HISTORY, BRUXELLES (BELGIQUE) / RESEARCH GROUP ON INTERNATIONAL POLITICS, U. ANTWERP (BELGIQUE) / BLANQUERNA INSTITUTE, RAMON LLULL U. BARCELONA (ESPAGNE)
DURAND MICKAEL	2015_ST16	CEE, SCIENCES PO PARIS
DURAND MICKAEL	2017_ST45	CEE, SCIENCES PO PARIS
DURIN GUILLAUME	2009_ST52	LYON III/CLESID
DUSEIGNEUR GUILLAUME	2009_ST17	IEP LILLE
DUTOYA VIRGINIE	2011_ST53	NA
DUTOYA VIRGINIE	2013_ST25	CERI, SCIENCES PO PARIS
DUTOYA VIRGINIE	2015_ST34	CED, IEP BORDEAUX
DUTOYA VIRGINIE	2015_STGREPO	CED, IEP BORDEAUX
DUTOYA VIRGINIE	2017_ST45	CED, IEP BORDEAUX
DUVOUX NICOLAS	2017_ST59	CRESSPA LABTOP, U. PARIS 8
DWYRE DIANE	2013_ST41	NA
EBERHARD MIREILLE	2013_ST11	URMIS
EBERWEIN WOLF	2009_ST32	IEP GRENOBLE
ECKMAN ALICE	2013_ST48	NA
EDEBLOUDE JOHANNA	2013_ST10	ESC PAU
EDEL FREDERIC	2011_ST22	ENA
EGGER CLARA	2013_ST49	PACTE, IEP GRENOBLE
EGMOND MARCEL VAN	2015_STPOPACT	NA
EHRHARD THOMAS	2011_ST36	U. PARIS 2 / CECP
EHRHARD THOMAS	2015_ST6	U. PARIS 2
EHRHARD THOMAS	2017_ST42	CECP, PARIS II
EHRHARD THOMAS	2017_ST43	U. PARIS 2
EIJK VAN DER CEES	2011_ST33	NA
EL CHAZLI YOUSSEF	2013_ST53	CRAPUL IEPI, LAUSANNE (SUISSE)
EL MASLOUHI ABDERRAHIM	2009_ST49	U. MOHAMMED V RABAT (MAROC)
EL QADIM NORA	2013_ST49	CEE, SCIENCES PO PARIS
EL YOUSSEF	2015_ST61	CHAZLI U. LAUSANNE ET U. PARIS 1
ELBEZE MARC	2015_ST7	LIA, U. AVIGNON
ELETA ROXANA	2009_ST23	U. DU HAVRE
ELOIRE FABIEN	2013_ST34	CLERSE, U. LILLE 1
ELOIRE FABIEN	2017_ST35	CLERSE, U. LILLE 1
ELOIRE FABIEN	2017_ST55	CLERSE, U. LILLE 1
EMERI CLAUDE	2009_ST48	NA
EMPERADOR BADIMON MONTSERRAT	2015_ST49	TRIANGLE, U. LYON 2
EMPERADOR MONTSERRAT	2011_ST48	IEP AIX EN PROVENCE / U. LYON 2
ENGELI ISABELLE	2009_ST15	EUI FLORENCE (ITALIE)
ENGELI ISABELLE	2009_ST16	EUI FLORENCE (ITALIE)
ENGELI ISABELLE	2013_ST23	U. OTTAWA (CANADA)
ENGELS JENS IVO	2015_STRC20IPSA	NA
ENGELS XAVIER	2015_ST39	IDHES PARIS OUEST U. NANTERRE LA DEFENSE
ENNAJI MOHAMMED	2009_ST49	U. MOHAMMED V AGDAL RABAT (MAROC)
ENOS SOPHIE	2009_ST20	CERI, SCIENCES PO PARIS
ENOS SOPHIE	2009_ST21	CERI, SCIENCES PO PARIS
ENRIQUEZ EUGENE	2009_ST51	U. PARIS 7, SOCIOLOGIE
EPP DEREK	2013_ST23	JOHN LOVETT, FRANK R BAUMGARTNER U. NORTH CAROLINA AT CHAPEL HILL
EPSTEIN RENAUD	2009_ST121	ISSP ENS CACHAN
EPSTEIN RENAUD	2009_ST122	NA
EPSTEIN RENAUD	2011_ST14	U. NANTES
EPSTEIN RENAUD	2013_ST19	U. NANTES DCS
EPSTEIN RENAUD	2017_ST9	CESDIP IEP SAINT GERMAIN EN LAYE
ERALY ALAIN	2017_ST40	U. LIBRE BRUXELLES, CEPAP
ERDINC ISIL	2015_ST14	CESSP-CRPS, U. PARIS 1
ERDINC ISIL	2015_ST49	CESSP-CRPS, U. PARIS 1
ERGEN TIMUR	2015_ST40	MPIFG, COLOGNE)
ERROTABEHERE MARC	2015_ST41	DOCTORANT CREG ETICOOP CIFRE, U. PAU
ESCALONA FABIEN	2013_ST26	IEP GRENOBLE
ESCALONA FABIEN	2015_ST15	IEP GRENOBLE/PACTE
ESCALONA FABIEN	2017_ST55	PACTE PO, IEP GRENOBLE ET CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
ESCRIVA ANGELES	2015_ST5	U. HUELVA
ESQUENAZI JEAN PIERRE	2017_ST56	U. LYON 3
ETHUIN NATHALIE	2011_ST31	CERAPS, U. LILLE 2
ETHUIN NATHALIE	2013_ST24	CERAPS, U. LILLE 2
ETHUIN NATHALIE	2015_ST23	CERAPS, U. LILLE 2
EVEDOVE LEONARDO	2015_ST58	U. FEDERALE DE RORAIMA, BOA VISTA, BRESIL
EVRARD AURELIEN	2009_ST14	SCIENCES PO PARIS
EVRARD AURELIEN	2009_ST41	CEVIPOF, SCIENCES PO PARIS / ADEME
EVRARD AURELIEN	2011_ST29	CEE, SCIENCES PO PARIS
EVRARD AURELIEN	2015_ST35	ICEE, U. PARIS 3
EVRARD AURELIEN	2017_ST17	U. PARIS 3 / CEE, SCIENCES PO PARIS
EYMERI JEAN MICHEL	2009_ST3	LASSP, IEP TOULOUSE
EYMERI JEAN MICHEL	2011_ST25	LASSP, IEP TOULOUSE
EYMERI JEAN MICHEL	2011_ST42	LASSP, IEP TOULOUSE
EYMERI JEAN MICHEL	2013_ST2	LASSP, IEP TOULOUSE
EYMERI JEAN MICHEL	2013_ST4	LASSP, IEP TOULOUSE
EYMERI JEAN MICHEL	2015_ST28	LASSP, IEP TOULOUSE
EYMERI JEAN MICHEL	2017_ST40	LASSP, IEP TOULOUSE
FABIANI JEAN LOUIS	2017_ST74	EHESS/CESPRA, CENTRAL EUROPEAN U. BUDAPEST (HONGRIE)
FALKENHAGEN FREDERIC	2013_ST6	UNIVERSITAT OLDENBURG
FALLON CATHERINE	2009_ST15	U. LIEGE (BELGIQUE)
FALLON CATHERINE	2009_ST24	U. LIEGE (BELGIQUE)
FANIEL JEAN	2013_ST27	CRISP
FANKEM ROBERT	2017_ST63	U. YAOUNDE 2
FARGUES EMILIEN	2017_ST31	CEVIPOF, SCIENCES PO PARIS
FARHA MARK	2013_ST41	NA
FARVAQUE ETIENNE	2009_ST4	EQUIPPE, U. LILLE 1
FASSIN ERIC	2009_ST34	ENS, IRIS, CNRS / EHESS PARIS
FASSIN ERIC	2009_ST35	ENS, IRIS, CNRS/EHESS PARIS
FASSIN ERIC	2009_ST6	ENS IRIS
FASSIN ERIC	2013_ST33	PARIS 8 EHESS, IRIS
FAUCHER FLORENCE	2015_ST21	CEE, SCIENCES PO PARIS
FAUCHER FLORENCE	2017_ST54	CEE, SCIENCES PO PARIS
FAUCONNIER CLEMENTINE	2011_ST41	CERI, SCIENCES PO PARIS
FAUCONNIER CLEMENTINE	2015_ST21	CERI, SCIENCES PO PARIS
FAURE ALAIN	2009_ST122	PACTE, IEP GRENOBLE
FAURE ALAIN	2011_ST49	PACTE, IEP GRENOBLE
FAURE ALAIN	2015_ST34	PACTE, IEP GRENOBLE
FAURE ALAIN	2015_ST8	PACTE, IEP GRENOBLE
